Durham_id,Site,SampleDate,SampleTime,Method,pH,SpecCond,DOC_mgL,TDN_mgL,DON_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,S_mgL,SiO2_mgL,Sr_mgL,Zn_mgL,LocationType,GWType,X,Y
SG-048,52_3_s1,2019-06-18T00:00:00Z,1899-12-31T12:31:00Z,pump,4.69,12.25,6.88,0.22,0.19,0.02,0.37,0.05,1.16,0.284,0.084,0.2,0.015,0.003,0.42,0.14,0.14,0.06,0.06,0.02,0.46,0.36,2.25,0,0,G2,shallow,281790.3689,4871221.759
SG-049,52_4_s1,2019-06-18T00:00:00Z,1899-12-31T12:00:00Z,pump,4.89,11.41,4.02,0.16,0.12,0.03,0.56,0.13,1.85,0.189,0.04,0.149,0.009,0.001,0.35,0.28,0.03,0.17,0.09,0.02,0.58,0.55,2.89,0,0.01,G2,shallow,281788.928,4871187.1
SG-050,A7,2019-06-18T00:00:00Z,1899-12-31T09:45:00Z,pump,4.96,11.54,3.03,0.11,0.05,0.03,0.37,0.22,2.64,0.254,0.027,0.227,0.013,0.001,0.42,0.29,0.02,0.06,0.07,0.01,0.62,0.83,5.07,0,0,G3,deep_intoC,281757.2500,4870606.0000
SG-051,D1,2019-06-18T00:00:00Z,1899-12-31T14:14:00Z,pump,4.95,12.3,3.61,0.17,0.15,0.03,0.47,0.03,2.39,0.203,0.033,0.17,0.018,0.001,0.33,0.31,0.03,0.11,0.11,0,0.74,0.72,4.81,0,0,G5,shallow,281751.0620,4870859.5000
SG-052,E4D,2019-06-18T00:00:00Z,1899-12-31T14:09:00Z,grab,4.7,12.74,7.34,0.17,0.14,0.02,0.3,0.09,1.93,0.284,0.084,0.2,0.008,0.001,0.43,0.25,0.04,0.08,0.1,0.01,0.55,0.57,3.35,0,0.01,1,stream,281791.7519,4870863.5
SG-053,E4B,2019-06-18T00:00:00Z,1899-12-31T14:12:00Z,grab,4.79,11.78,6.34,0.16,0.14,0.02,0.32,0.06,1.93,0.268,0.07,0.198,0.006,0.001,0.44,0.24,0.03,0.07,0.1,0.01,0.53,0.58,3.53,0,0,1,stream,281741.5651,4870839.5
SG-054,PB25,2019-06-18T00:00:00Z,1899-12-31T11:32:00Z,grab,4.99,10.3,2.88,0.13,0.07,0.02,0.37,0.18,2.12,0.129,0.024,0.105,0.02,0.001,0.22,0.31,0.01,0.06,0.09,0.02,0.53,0.62,3.31,0,0,1,stream,281791.7747,4871126.775
SG-055,S24,2019-06-18T00:00:00Z,1899-12-31T13:51:00Z,grab,5.46,9.81,1.33,0.05,0.03,0.02,0.45,0.06,2.29,0.038,0.005,0.033,0.006,0.001,0.07,0.49,0,0.06,0.13,0.01,0.78,0.69,4.89,0,0,1,stream,281691.5,4871020.796
SG-056,W4C,2019-06-18T00:00:00Z,1899-12-31T13:54:00Z,grab,5.64,9.64,1.32,0.07,0.05,0.02,0.37,0.08,2.41,0.031,0.005,0.026,0.008,0.001,0.07,0.54,0,0.07,0.15,0.01,0.73,0.75,5.03,0,0,1,stream,281695.5545,4870998.446
SG-057,Weir3,2019-06-18T00:00:00Z,1899-12-31T08:36:00Z,grab,5.98,9.13,2.79,0.06,0.04,0.02,0.35,0.05,2.44,0.055,0.015,0.04,0.013,0.001,0.12,0.53,0,0.07,0.16,0,0.77,0.72,5.31,0,0,6,weir,NA,NA
SG-058,Weir3,2019-06-18T00:00:00Z,1899-12-31T14:36:00Z,grab,6.03,9.16,2.61,0.08,0.06,0.04,0.35,0.04,2.36,0.058,0.017,0.041,0.01,0.001,0.12,0.53,0,0.07,0.16,0,0.78,0.74,5.44,0,0,6,weir,NA,NA
SG-068,52_3_s1,2019-06-25T00:00:00Z,1899-12-31T12:22:00Z,pump,4.67,12.28,6.77,0.19,0.17,0.02,0.3,0.03,1.22,0.306,0.084,0.222,0.006,0.003,0.44,0.13,0.13,0.05,0.05,0.02,0.42,0.38,2.17,0,0,G2,shallow,281790.3689,4871221.759
SG-069,52_4_s1,2019-06-25T00:00:00Z,1899-12-31T12:07:00Z,pump,4.85,11.31,3.87,0.14,0.12,0.02,0.31,0.07,1.82,0.214,0.034,0.18,0.006,0.001,0.33,0.24,0.02,0.11,0.08,0.01,0.49,0.54,2.83,0,0.01,G2,shallow,281788.928,4871187.1
SG-070,D1,2019-06-25T00:00:00Z,1899-12-31T15:13:00Z,pump,5.03,11.53,0.47,0.05,0,0.04,0.39,0.21,3.92,0.008,0.001,0.008,0.002,0.003,0.03,1.67,0.03,0.37,0.26,0,1.11,1.24,9.55,0.01,0,G5,shallow,281751.0620,4870859.5000
SG-071,K8,2019-06-25T00:00:00Z,1899-12-31T14:08:00Z,pump,5.93,18.46,7.17,0.18,0.13,0.02,0.28,0.22,1.75,0.27,0.087,0.183,0.007,0.001,0.49,0.22,0.04,0.15,0.09,0.01,0.44,0.52,3.04,0,0,G4,deep_intoC,281684.7810,4871117.0000
SG-072,E4D,2019-06-25T00:00:00Z,1899-12-31T15:08:00Z,grab,4.72,12.22,6.4,0.16,0.13,0.02,0.29,0.08,1.83,0.274,0.081,0.192,0.005,0.001,0.43,0.24,0.03,0.1,0.09,0.01,0.48,0.56,3.3,0,0,1,stream,281791.7519,4870863.5
SG-073,E4B,2019-06-25T00:00:00Z,1899-12-31T15:06:00Z,grab,4.78,11.88,2.65,0.1,0.07,0.02,0.36,0.11,2.11,0.102,0.024,0.078,0.005,0.001,0.17,0.33,0,0.08,0.09,0.02,0.58,0.62,3.25,0,0.01,1,stream,281741.5651,4870839.5
SG-074,PB25,2019-06-25T00:00:00Z,1899-12-31T11:52:00Z,grab,5.03,10.33,2.47,0.09,0.06,0.02,0.34,0.11,1.99,0.129,0.021,0.108,0.006,0.001,0.2,0.3,0,0.08,0.08,0.02,0.48,0.6,3.17,0,0,1,stream,281791.7747,4871126.775
SG-075,PB26,2019-06-25T00:00:00Z,1899-12-31T11:49:00Z,grab,5.06,10.21,3.12,0.13,0.1,0.02,0.34,0.13,2.13,0.18,0.029,0.151,0.007,0.001,0.25,0.24,0.01,0.07,0.08,0.02,0.44,0.66,3.14,0,0.01,1,stream,NA,NA
SG-076,PB27,2019-06-25T00:00:00Z,1899-12-31T11:43:00Z,grab,4.94,11.65,1.38,0.06,0.04,0.02,0.38,0.05,2.23,0.032,0.009,0.022,0.008,0.001,0.05,0.49,0,0.06,0.13,0.01,0.7,0.68,4.63,0,0,1,stream,281795.5,4871172.805
SG-077,S24,2019-06-25T00:00:00Z,1899-12-31T14:38:00Z,grab,5.58,9.92,1.76,0.08,0.03,0.02,0.36,0.2,2.28,0.046,0.013,0.032,0.004,0.002,0.1,0.58,0,0.12,0.16,0.02,0.68,0.7,4.66,0,0,1,stream,281691.5,4871020.796
SG-078,W4C,2019-06-25T00:00:00Z,1899-12-31T14:42:00Z,grab,5.76,9.96,2.65,0.08,0.06,0.03,0.34,0.04,2.34,0.058,0.013,0.045,0.013,0.002,0.11,0.54,0,0.08,0.16,0,0.81,0.74,5.39,0,0.01,1,stream,281695.5545,4870998.446
SG-079,Weir3,2019-06-25T00:00:00Z,1899-12-31T08:26:00Z,grab,5.94,9.6,3.03,0.07,0.04,0.02,0.33,0.11,2.28,0.031,0.097,-0.066,0.006,0.002,0.13,0.57,0,0.12,0.17,0,0.74,0.68,5.01,0,0,6,weir,NA,NA
SG-080,Weir3,2019-06-25T00:00:00Z,1899-12-31T15:38:00Z,grab,5.93,9.53,2.47,0.06,0.04,0.03,0.35,0.08,2.86,0.045,0.012,0.032,0.004,0.003,0.1,0.71,0,0.1,0.2,0,0.85,0.88,6.13,0.01,0.01,6,weir,NA,NA
SG-081,E0A,2019-06-25T00:00:00Z,1899-12-31T08:34:00Z,grab,6.03,11.1,2.18,0.05,0.04,0.03,0.38,0.03,3.29,0.065,0.013,0.042,0.002,0.001,0.12,0.69,0,0.11,0.19,0.01,0.84,1.04,6.28,0.01,0,1,stream,NA,NA
SG-082,E0E,2019-06-25T00:00:00Z,1899-12-31T08:52:00Z,grab,5.45,12.88,6.37,0.26,0.16,0.03,0.35,0.39,2.1,0.069,0.036,0.033,0.007,0.023,0.1,1.62,0.1,0.31,0.26,0.01,0.97,0.65,7.78,0.01,0,1,stream,NA,NA
SG-083,Seep3a,2019-06-25T00:00:00Z,1899-12-31T14:06:00Z,grab,6.41,14.52,1.57,0.05,0.04,0.03,0.38,0.02,2.31,0.033,-0.006,0.039,0.003,0.001,0.03,0.51,0,0.06,0.13,0,0.7,0.68,4.57,0,0,4,seep,281700.723,4871089.361
SG-084,W4A,2019-06-25T00:00:00Z,1899-12-31T14:57:00Z,grab,5.98,8.9,1.26,0.04,0.03,0.02,0.37,0.03,2.29,0.038,0.015,0.023,0.001,0.001,0.05,0.52,0,0.05,0.13,0,0.65,0.68,4.38,0,0,1,stream,281704.9512,4870945.049
SG-085,W4B,2019-06-25T00:00:00Z,1899-12-31T14:39:00Z,grab,5.68,9.35,2.68,0.08,0.06,0.02,0.34,0.12,2.01,0.078,0.025,0.054,0.001,0.001,0.15,0.46,0,0.07,0.13,0.01,0.64,0.58,4.14,0,0.01,1,stream,281700.5,4870982.304
SG-086,PB18,2019-06-25T00:00:00Z,1899-12-31T15:15:00Z,grab,5.58,8.72,3.19,0.16,0.09,0.02,0.33,0.24,2.55,0.27,0.035,0.235,0.009,0.001,0.44,0.29,0.01,0.06,0.07,0.01,0.59,0.79,4.94,0,0,3,stream,281721.5,4870886.257
SG-087,A7,2019-06-25T00:00:00Z,1899-12-31T09:28:00Z,pump,4.98,11.91,3.44,0.09,0.08,0.03,0.33,0.01,2.33,0.178,0.031,0.147,0.006,0.001,0.33,0.3,0.03,0.04,0.11,0,0.66,0.71,4.87,0,0,G3,deep_intoC,281757.2500,4870606.0000
SG-088,52_3_s1,2019-07-02T00:00:00Z,1899-12-31T12:19:00Z,pump,4.63,12.16,7.25,0.2,0.18,0.02,0.32,0.04,1.22,0.308,0.091,0.217,0.007,0.002,0.44,0.14,0.17,0.06,0.06,0.02,0.42,0.39,2.33,0.002,0.004,G2,shallow,281790.3689,4871221.759
SG-089,52_4_s1,2019-07-02T00:00:00Z,1899-12-31T12:00:00Z,pump,4.8,12.45,3.91,0.16,0.14,0.02,0.37,0.05,1.88,0.253,0.043,0.21,0.007,0,0.4,0.23,0.02,0.08,0.08,0.01,0.46,0.58,2.89,0.002,0.008,G2,shallow,281788.928,4871187.1
SG-090,D1,2019-07-02T00:00:00Z,1899-12-31T14:30:00Z,pump,5.11,11.72,3.32,0.12,0.11,0.03,0.43,0.02,2.49,0.183,0.032,0.151,0.008,0,0.32,0.31,0.02,0.08,0.11,0,0.73,0.77,4.8,0.004,0.003,G5,shallow,281751.0620,4870859.5000
SG-091,K8,2019-07-02T00:00:00Z,1899-12-31T13:57:00Z,pump,5.92,18.96,0.56,0.09,0.03,0.04,0.59,0.22,4.09,0.01,0,0.01,0.011,0.004,0.03,1.63,0.03,0.4,0.26,0,1.14,1.31,9.12,0.014,0.012,G4,deep_intoC,281684.7810,4871117.0000
SG-092,E4D,2019-07-02T00:00:00Z,1899-12-31T14:34:00Z,grab,4.68,12.98,7.35,0.22,0.18,0.02,0.33,0.14,1.96,0.281,0.09,0.192,0.014,0.001,0.45,0.27,0.05,0.07,0.11,0.01,0.54,0.6,3.39,0.003,0.006,1,stream,281791.7519,4870863.5
SG-093,E4B,2019-07-02T00:00:00Z,1899-12-31T14:37:00Z,grab,4.77,12.87,6.46,0.17,0.15,0.02,0.31,0.06,1.99,0.242,0.073,0.169,0.01,0.001,0.41,0.26,0.03,0.07,0.1,0.01,0.57,0.6,3.51,0.003,0.009,1,stream,281741.5651,4870839.5
SG-094,PB25,2019-07-02T00:00:00Z,1899-12-31T11:01:00Z,grab,5.02,10.7,2.78,0.11,0.08,0.02,0.35,0.08,2.01,0.133,0.025,0.108,0.011,0.001,0.22,0.31,0.01,0.04,0.09,0.01,0.51,0.66,3.13,0.003,0.004,1,stream,281791.7747,4871126.775
SG-095,W4C,2019-07-02T00:00:00Z,1899-12-31T14:15:00Z,grab,5.65,10.61,1.3,0.09,0.07,0.02,0.4,0.09,2.39,0.034,0.005,0.029,0.005,0,0.07,0.57,0,0.08,0.15,0.01,0.76,0.76,4.89,0.004,0.005,1,stream,281695.5545,4870998.446
SG-096,Weir3,2019-07-02T00:00:00Z,1899-12-31T08:51:00Z,grab,6.01,9.85,2.4,0.1,0.08,0.03,0.35,0.04,2.44,0.051,0.013,0.038,0.005,0.001,0.12,0.54,0,0.06,0.16,0,0.78,0.76,5.31,0.004,0.002,6,weir,NA,NA
SG-097,E0A,2019-07-02T00:00:00Z,1899-12-31T08:54:00Z,grab,6.14,11.56,2.11,0.1,0.07,0.03,0.35,0.07,2.88,0.043,0.01,0.033,0.007,0,0.11,0.71,0,0.06,0.2,0,0.83,0.89,6.17,0.006,0.002,1,stream,NA,NA
SG-098,W4B,2019-07-02T00:00:00Z,1899-12-31T14:19:00Z,grab,5.54,10.99,1.12,0.07,0.05,0.02,0.42,0.03,2.37,0.026,0.003,0.023,0.009,0,0.06,0.61,0,0.05,0.16,0.01,0.75,0.73,4.68,0.005,0.004,1,stream,281700.5,4870982.304
SG-099,PB18,2019-07-02T00:00:00Z,1899-12-31T14:26:00Z,grab,5.59,8.97,2.56,0.12,0.1,0.02,0.35,0.08,2.11,0.077,0.02,0.058,0.005,0,0.16,0.41,0,0.03,0.12,0,0.68,0.64,4.43,0.003,0.004,3,stream,281721.5,4870886.257
SG-100,52_4_s1,2019-07-08T00:00:00Z,1899-12-31T11:47:00Z,pump,5.05,10.62,3.75,0.15,0.12,0.02,0.43,0.08,1.9,0.185,0.037,0.148,0.005,0.001,0.3,0.29,0.01,0.13,0.09,0.01,0.56,0.59,3.1,0.003,0.011,G2,shallow,281788.928,4871187.1
SG-101,D1,2019-07-08T00:00:00Z,1899-12-31T15:28:00Z,pump,5.3,11.72,3.25,0.17,0.16,0.03,0.5,0.02,2.54,0.126,0.03,0.095,0.012,0.001,0.25,0.35,0.04,0.13,0.11,0,0.81,0.78,4.3,0.005,0.011,G5,shallow,281751.0620,4870859.5000
SG-102,K8,2019-07-08T00:00:00Z,1899-12-31T14:16:00Z,pump,6.03,20,0.57,0.07,0.03,0.05,0.42,0.16,4.03,0.006,0.002,0.004,0.008,0.005,0.06,1.6,0.05,0.41,0.26,0,1.15,1.3,9.34,0.014,0.018,G4,deep_intoC,281684.7810,4871117.0000
SG-103,Weir3,2019-07-08T00:00:00Z,1899-12-31T09:21:00Z,grab,6.05,11.51,2.29,0.11,0.09,0.03,0.41,0.06,2.67,0.043,0.011,0.032,0.013,0.001,0.12,0.6,0,0.08,0.19,0,0.92,0.85,6.21,0.005,0.003,6,weir,NA,NA
SG-104,E0A,2019-07-08T00:00:00Z,1899-12-31T09:27:00Z,grab,6.12,12.69,2.12,0.1,0.07,0.04,0.39,0.1,3,0.04,0.012,0.028,0.011,0.002,0.12,0.75,0.02,0.11,0.23,0,0.93,0.96,6.87,0.006,0.004,1,stream,NA,NA
SG-105,42_2_s1,2019-07-12T00:00:00Z,1899-12-31T14:03:00Z,pump,4.43,17.21,14.67,0.33,0.31,0.02,0.22,0.01,0.51,0.4,0.25,0.15,0.021,0.016,0.53,0.22,0.28,0.1,0.06,0.07,0.43,0.28,2.68,0.002,0.02,G1,shallow,281626.546,4871231.05
SG-106,52_2_s1,2019-07-12T00:00:00Z,1899-12-31T12:37:00Z,pump,4.73,11.75,8.1,0.28,0.24,0.02,0.62,0.03,0.87,0.26,0.14,0.12,0.032,0.001,0.4,0.35,0.08,0.18,0.07,0.04,0.48,0.35,1.86,0.003,0.015,G1,shallow,281790.4303,4871243.602
SG-107,52_3_s1,2019-07-12T00:00:00Z,1899-12-31T12:24:00Z,pump,4.56,14.15,8.17,0.26,0.24,0.02,0.4,0.04,1.01,0.31,0.16,0.15,0.01,0.002,0.46,0.17,0.09,0.07,0.06,0.03,0.45,0.4,1.83,0.002,0.011,G2,shallow,281790.3689,4871221.759
SG-108,52_4_s1,2019-07-12T00:00:00Z,1899-12-31T12:09:00Z,pump,4.83,11.82,4.06,0.17,0.14,0.03,0.44,0.13,1.73,0.25,0.08,0.17,0.005,0.001,0.37,0.3,0.02,0.1,0.08,0.01,0.47,0.59,2.92,0.003,0.007,G2,shallow,281788.928,4871187.1
SG-109,86_3_s1,2019-07-12T00:00:00Z,1899-12-31T10:08:00Z,pump,4.75,14.03,7.78,0.39,0.2,0.05,0.53,0.71,1.86,0.34,0.14,0.19,0.025,0.001,0.57,0.64,0.04,0.22,0.17,0.01,0.75,0.64,3.74,0.006,0.016,G2,shallow,281846.3742,4870628.727
SG-110,86_4_s1,2019-07-12T00:00:00Z,1899-12-31T09:37:00Z,pump,5.14,15.1,5.75,0.6,0.26,0.05,0.92,1.19,2.11,0.17,0.09,0.08,0.072,0.001,0.37,0.78,0.04,0.38,0.13,0.01,1,0.72,5.01,0.005,0.038,G3,shallow,281815.4747,4870632.36
SG-111,N1,2019-07-12T00:00:00Z,1899-12-31T13:29:00Z,pump,4.74,17.7,16.96,0.75,0.48,0.04,0.8,0.88,0.87,0.47,0.29,0.18,0.066,0.09,0.73,0.39,0.39,0.78,0.22,0.17,0.67,0.4,5.92,0.004,0.444,G1,shallow,281655.4060,4871219.0000
SG-112,A7,2019-07-12T00:00:00Z,1899-12-31T09:15:00Z,pump,5.22,14.23,4.87,0.51,0.25,0.03,0.9,0.94,2.26,0.18,0.08,0.11,0.047,0.001,0.32,0.55,0.13,0.33,0.15,0.03,1.09,0.77,4.38,0.006,0.04,G3,deep_intoC,281757.2500,4870606.0000
SG-113,D1,2019-07-12T00:00:00Z,1899-12-31T15:55:00Z,pump,5.05,12.86,4.5,0.34,0.3,0.05,0.67,0.04,2.23,0.19,0.08,0.11,0.037,0,0.35,0.41,0.04,0.21,0.11,0.01,0.9,0.75,3.89,0.005,0.011,G5,shallow,281751.0620,4870859.5000
SG-114,K8,2019-07-12T00:00:00Z,1899-12-31T15:18:00Z,pump,5.94,18.86,0.63,0.12,0.08,0.04,0.51,0.14,4.1,0,0,0,0.014,0.001,0.04,1.55,0.02,0.39,0.26,0,1.14,1.41,9.31,0.013,0.004,G4,deep_intoC,281684.7810,4871117.0000
SG-115,E4D,2019-07-12T00:00:00Z,1899-12-31T15:53:00Z,grab,4.61,12.82,9.8,0.25,0.21,0.02,0.33,0.11,1.24,0.38,0.2,0.18,0.011,0.001,0.57,0.27,0.07,0.08,0.1,0.01,0.47,0.47,2.72,0.003,0.007,1,stream,281791.7519,4870863.5
SG-116,E4B,2019-07-12T00:00:00Z,1899-12-31T15:56:00Z,grab,4.64,13.19,9.24,0.22,0.2,0.02,0.29,0.09,1.27,0.35,0.19,0.16,0.005,0.001,0.55,0.27,0.05,0.07,0.1,0.01,0.45,0.49,2.77,0.003,0.006,1,stream,281741.5651,4870839.5
SG-117,PB25,2019-07-12T00:00:00Z,1899-12-31T11:52:00Z,grab,4.84,10.57,4.15,0.14,0.12,0.01,0.4,0.08,1.5,0.22,0.09,0.13,0.005,0,0.32,0.25,0.01,0.04,0.06,0.02,0.43,0.52,2.68,0.003,0.004,1,stream,281791.7747,4871126.775
SG-118,PB26,2019-07-12T00:00:00Z,1899-12-31T11:46:00Z,grab,4.82,10.68,4.05,0.15,0.13,0.01,0.35,0.08,1.45,0.23,0.09,0.14,0.007,0.001,0.34,0.24,0.01,0.03,0.06,0.02,0.42,0.52,2.57,0.003,0.005,1,stream,NA,NA
SG-119,PB27,2019-07-12T00:00:00Z,1899-12-31T11:39:00Z,grab,4.62,12.76,6.55,0.24,0.21,0.01,0.35,0.07,1.19,0.31,0.13,0.18,0.012,0.001,0.43,0.16,0.04,0.03,0.05,0.02,0.34,0.45,2.22,0.002,0.004,1,stream,281795.5,4871172.805
SG-120,S24,2019-07-12T00:00:00Z,1899-12-31T15:29:00Z,grab,5.42,9.35,1.68,0.06,0.05,0.02,0.4,0.01,1.94,0.05,0.01,0.03,0.005,0,0.09,0.46,0,0.02,0.11,0.01,0.67,0.67,4.13,0.004,0.005,1,stream,281691.5,4871020.796
SG-121,W4C,2019-07-12T00:00:00Z,1899-12-31T15:32:00Z,grab,5.55,9.09,1.52,0.08,0.07,0.02,0.39,0.03,2.09,0.04,0.02,0.02,0.007,0,0.1,0.53,0,0.05,0.13,0.01,0.63,0.68,3.87,0.005,0.005,1,stream,281695.5545,4870998.446
SG-122,Weir3,2019-07-12T00:00:00Z,1899-12-31T08:27:00Z,grab,5.73,8.66,4.05,0.14,0.12,0.02,0.32,0.08,1.78,0.12,0.07,0.04,0.003,0,0.23,0.53,0.01,0.07,0.15,0,0.63,0.6,4.1,0.005,0.003,6,weir,NA,NA
SG-123,E0A,2019-07-12T00:00:00Z,1899-12-31T08:33:00Z,grab,5.92,10.92,2.92,0.15,0.13,0.02,0.32,0.07,2.57,0.07,0.03,0.03,0.005,0.001,0.15,0.73,0,0.07,0.2,0,0.78,0.84,5.9,0.007,0.002,1,stream,NA,NA
SG-124,E0E,2019-07-12T00:00:00Z,1899-12-31T08:49:00Z,grab,5.5,13.2,2.01,0.07,0.06,0.03,0.36,0,3.42,0.1,0.03,0.07,0.007,0.001,0.17,0.75,0,0.09,0.2,0,0.9,1.15,6.19,0.008,0.004,1,stream,NA,NA
SG-125,W4B,2019-07-12T00:00:00Z,1899-12-31T15:35:00Z,grab,5.72,8.71,1.52,0.07,0.07,0.02,0.38,0.01,2.06,0.04,0.03,0.01,0.004,0.001,0.08,0.5,0,0.05,0.12,0,0.65,0.69,3.98,0.004,0.006,1,stream,281700.5,4870982.304
SG-126,W4A,2019-07-12T00:00:00Z,1899-12-31T15:38:00Z,grab,5.91,8.76,1.68,0.08,0.05,0.02,0.41,0.08,2.1,0.04,0.01,0.02,0.005,0,0.07,0.52,0,0.05,0.13,0,0.67,0.68,4.11,0.005,0.004,1,stream,281704.9512,4870945.049
SG-127,PB18,2019-07-12T00:00:00Z,1899-12-31T15:45:00Z,grab,5.38,8.41,4.01,0.14,0.12,0.02,0.31,0.06,1.6,0.14,0.08,0.07,0.007,0.001,0.26,0.43,0,0.04,0.12,0.01,0.56,0.54,3.64,0.004,0.003,3,stream,281721.5,4870886.257
SG-128,52_3_s1,2019-07-16T00:00:00Z,1899-12-31T11:46:00Z,pump,4.68,12.49,7.6,0.23,0.2,0.01,0.46,0.06,1.23,0.41,0.15,0.26,0.019,0.002,0.55,0.14,0.22,0.08,0.06,0.03,0.46,0.45,3.01,0.002,0.006,G2,shallow,281790.3689,4871221.759
SG-129,52_4_s1,2019-07-16T00:00:00Z,1899-12-31T11:28:00Z,pump,4.85,11.69,3.92,0.13,0.11,0.02,0.37,0.04,1.76,0.31,0.08,0.23,0.007,0,0.45,0.22,0.02,0.08,0.08,0.01,0.46,0.62,3.15,0.003,0.008,G2,shallow,281788.928,4871187.1
